Protein	Structural Cluster	Cluster representative	Family	Class	Consensus Class	In_tree?	Best Hit UniprotKB entry	Best Hit UniprotKB name	Best Hit UniprotKB %id	Best Hit UniprotKB e-value	UniprotKB novelty%	Average identity	Average TM-score	Abundance	Redundant_names
15861298_len_309_MetaAn_3	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	Yes	A0A3S4WPJ3	beta-lactamase, 3.5.2.6	90.4	0.E+00	9.6	0.172	0.66857	0.000584066	-
23183524_len_317_MetaAn_17	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.004250276	-
23210609_len_410_MetaAn_74	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	Yes	A0AA45MNH5	Beta-lactamase, 3.5.2.6	68	0.E+00	32	0.117	0.49444	0.000344091	-
23227192_len_401_MetaAn_3	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.000158655	-
23291772_len_306_MetaAn_3	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0	-
2339999_len_303_MetaAn_21	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.002296146	-
23481160_len_455_MetaAn_1	Carboxylesterase EstU1	10553088_len_458_MetaAn_1	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	-
2370187_len_303_MetaAn_21	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.001892585	-
2370188_len_303_MetaAn_21	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000486636	-
23807757_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0	-
23837421_len_308_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000882209	-
23837634_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000200081	-
2414544_len_303_MetaAn_10	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.00163965	-
24145618_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A7Y4YEV9	Beta-lactamase, 3.5.2.6	73.7	3.E-158	26.3	0.159	0.61822	0	-
24171083_len_306_MetaAn_3	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000376856	-
2419556_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
24235277_len_304_MetaAn_62	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000831144	-
24258644_len_286_MetaAn_74	D-I	CDD-1	Undefined	Candidate	D	Yes	A0A059X154	Beta-lactamase, 3.5.2.6	71	8.E-148	29	0.149	0.62767	0.001533525	-
2432310_len_401_MetaAn_66	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0	-
24334414_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000620139	-
24344536_len_313_MetaAn_7	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.001479337	-
24359410_len_273_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000982182	-
24402399_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	Yes	A0A512BFA4	Beta-lactamase, 3.5.2.6	72.8	6.E-148	27.2	0.152	0.64964	0.000208399	-
24411754_len_287_MetaAn_32	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	Yes	A0A0S7BBD0	Beta-lactamase, 3.5.2.6	52	6.E-77	48	0.165	0.63769	0.000405868	-
24433077_len_325_MetaAn_74	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000455183	-
2454026_len_302_MetaAn_8	A-III	SGM-5	Undefined	Candidate	A	Yes	A0A2V7KTM6	Beta-lactamase, 3.5.2.6	59.9	1.E-115	40.1	0.227	0.71249	0.000771743	-
24589902_len_455_MetaAn_1	Carboxylesterase EstU1	10553088_len_458_MetaAn_1	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	-
24650641_len_391_MetaAn_62	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	Yes	A0A2W5YJS4	Beta-lactamase, 3.5.2.6	71.9	0.E+00	28.1	0.113	0.51042	0.002119129	-
2468676_len_297_MetaAn_66	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	4.94E-05	-
24843219_len_290_MetaAn_69	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.004333013	-
2496503_len_455_MetaAn_1	Carboxylesterase EstU1	10553088_len_458_MetaAn_1	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	-
25006947_len_285_MetaAn_32	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
25051558_len_313_MetaAn_7	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A0D6TR83	beta-lactamase, 3.5.2.6	72	1.E-154	28	0.169	0.66065	0.00054566	-
25069290_len_401_MetaAn_3	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.000158174	-
2510119_len_401_MetaAn_66	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	6.21E-05	-
2519631_len_309_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A936QK02	Beta-lactamase, 3.5.2.6	72.5	2.E-156	27.5	0.184	0.6759	0	-
25303175_len_304_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	3.04E-05	-
25392888_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000191654	-
25416534_len_325_MetaAn_74	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000177344	-
2546277_len_299_MetaAn_8	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000489444	-
2548281_len_286_MetaAn_74	D-I	CDD-1	Undefined	Candidate	D	Yes	A0A059X154	Beta-lactamase, 3.5.2.6	71.1	4.E-144	28.9	0.147	0.63019	0.000559399	-
2549895_len_313_MetaAn_7	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	6.03E-05	-
25540234_len_292_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.001943671	-
2562278_len_297_MetaAn_66	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000939937	-
25717093_len_385_MetaAn_31	Carboxylesterase PBP-5	SPA_MetaAn_7_l417_st452_e1702_se-1_ID=64270_2	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	-
2574776_len_401_MetaAn_66	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.001385586	-
25788041_len_285_MetaAn_30	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	5.83E-05	-
2583674_len_273_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000893541	-
2583675_len_296_MetaAn_74	D-I	CDD-1	Undefined	Candidate	D	Yes	A0A059X154	Beta-lactamase, 3.5.2.6	68.7	7.E-142	31.3	0.14	0.61469	0.002029896	-
25846815_len_296_MetaAn_74	D-I	CDD-1	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000510018	-
25902979_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000597315	-
25967795_len_291_MetaAn_62	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	Yes	A0AAE4JWJ4	Class D beta-lactamase, 3.5.2.6	75.1	1.E-160	24.9	0.142	0.61388	0.013343378	-
25983516_len_313_MetaAn_7	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000536274	-
26101523_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.001700993	-
2627828_len_385_MetaAn_30	Carboxylesterase PBP-5	SPA_MetaAn_7_l417_st452_e1702_se-1_ID=64270_2	Undefined	Candidate	PBP	Yes	A0A8T3RLF9	serine-type D-Ala-D-Ala carboxypeptidase, 3.4.16.4	86.1	0.E+00	13.9	0.08	0.4422	0	-
26340198_len_285_MetaAn_32	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000563092	-
2638557_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0	-
26406393_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000360496	-
2640755_len_308_MetaAn_24	D-I	CDD-1	Undefined	Candidate	D	Yes	A0A7W1ZZG6	Beta-lactamase, 3.5.2.6	77.4	3.E-158	22.6	0.151	0.60248	0.00254603	-
26508047_len_288_MetaAn_50	A-IV	BRO-2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000296033	-
26562918_len_325_MetaAn_74	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.00546957	-
26580266_len_304_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	3.19E-05	-
26637007_len_309_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.001728436	-
26694575_len_304_MetaAn_62	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000186245	-
26710980_len_455_MetaAn_1	Carboxylesterase EstU1	10553088_len_458_MetaAn_1	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	-
26831845_len_292_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000294065	-
26850450_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000100733	-
2688882_len_281_MetaAn_67	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	Yes	A0A2I2DNN4	Beta-lactamase, 3.5.2.6	70.3	5.E-142	29.7	0.134	0.63203	0.003748341	-
2689997_len_285_MetaAn_26	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	Yes	A0A7W1FDU3	Beta-lactamase, 3.5.2.6	84.1	2.E-172	15.9	0.163	0.63889	0.002435845	-
2690967_len_303_MetaAn_10	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000812279	-
2706028_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000359403	-
27082593_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.001833912	-
15257530_len_296_MetaAn_3	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A3S4WPJ3	beta-lactamase, 3.5.2.6	88.8	0.E+00	11.2	0.177	0.69295	0.000100186	-
27094328_len_304_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.00038518	-
27256405_len_310_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A936QK02	Beta-lactamase, 3.5.2.6	74.8	2.E-158	25.2	0.185	0.67412	0.000169741	-
2726704_len_401_MetaAn_66	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.000252115	-
27337055_len_304_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A7Y4YEV9	Beta-lactamase, 3.5.2.6	76	1.E-162	24	0.178	0.64445	0.000583679	-
27505315_len_455_MetaAn_1	Carboxylesterase EstU1	10553088_len_458_MetaAn_1	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	-
27571673_len_295_MetaAn_50	A-III	SGM-5	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.006993859	-
27584881_len_323_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000379033	-
27628648_len_308_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000337455	-
27876435_len_309_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.00034025	-
27878690_len_285_MetaAn_17	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
27905327_len_275_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.010691801	-
28082487_len_401_MetaAn_3	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.000162473	-
28084577_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	4.99E-05	-
2809476_len_401_MetaAn_3	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0	-
28238185_len_285_MetaAn_30	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	Yes	A0A7W1ZZG6	Beta-lactamase, 3.5.2.6	84.1	1.E-171	15.9	0.162	0.63824	0.000447304	-
28296928_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.001106187	-
28396415_len_287_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000952093	-
28536812_len_287_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000125338	-
28576232_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
28595204_len_285_MetaAn_17	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	7.54E-05	-
2863684_len_292_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000582496	-
2866295_len_285_MetaAn_32	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	8.19E-05	-
28692553_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
28717510_len_310_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.00139968	-
28816269_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000742672	-
28818976_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000566379	-
2884492_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000156932	-
2893975_len_297_MetaAn_66	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000379304	-
289683_len_285_MetaAn_34	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000676455	-
29092992_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000917137	-
29121161_len_285_MetaAn_17	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	4.80E-05	-
2914913_len_296_MetaAn_74	D-I	CDD-1	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000351074	-
29162537_len_298_MetaAn_62	A-V	1090872_len_332_MetaAn_9	Undefined	Candidate	A	Yes	A0A0H5BBF8	Beta-lactamase, 3.5.2.6	60.5	9.E-110	39.5	0.224	0.70154	6.60E-05	-
2920501_len_298_MetaAn_62	A-IV	BRO-2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0	-
29318938_len_290_MetaAn_69	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.001983885	-
13764836_len_295_MetaAn_50	A-III	SGM-5	Undefined	Candidate	A	Yes	A0A7V9J3Q6	Beta-lactamase, 3.5.2.6	90.8	0.E+00	9.2	0.241	0.71172	0.003487291	-
2942689_len_287_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000167263	-
2945927_len_328_MetaAn_9	A-V	1090872_len_332_MetaAn_9	Undefined	Candidate	A	Yes	A0A2V6HF77	Beta-lactamase, 3.5.2.6	52.3	5.E-95	47.7	0.205	0.65013	0.004794543	-
29526342_len_322_MetaAn_74	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.00436921	-
295652_len_319_MetaAn_25	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.008249651	-
29569626_len_306_MetaAn_3	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000537764	-
29743025_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.00022493	-
29767318_len_273_MetaAn_74	D-I	CDD-1	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.00451926	-
29793731_len_333_MetaAn_17	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000727355	-
29862503_len_298_MetaAn_62	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A2L0W0L8	Beta-lactamase, 3.5.2.6	51.4	1.E-97	48.6	0.168	0.66714	0.002185312	-
29874149_len_304_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A936QK02	Beta-lactamase, 3.5.2.6	73.2	1.E-160	26.8	0.183	0.67216	0.004590835	-
2990705_len_303_MetaAn_21	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000620914	-
29943147_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000741161	-
3016153_len_285_MetaAn_24	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000665524	-
3024758_len_297_MetaAn_66	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0	-
30253761_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000301712	-
30305425_len_285_MetaAn_30	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
3030568_len_303_MetaAn_21	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000874851	-
3047739_len_401_MetaAn_66	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.000140254	-
30479486_len_298_MetaAn_62	A-V	1090872_len_332_MetaAn_9	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000246432	-
306683_len_401_MetaAn_66	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.000895575	-
30801639_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000102163	-
3088233_len_285_MetaAn_34	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	2.59E-05	-
30889130_len_285_MetaAn_17	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	3.40E-05	-
30889131_len_285_MetaAn_17	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000613732	-
3089817_len_384_MetaAn_5	Carboxylesterase PBP-5	SPA_MetaAn_7_l417_st452_e1702_se-1_ID=64270_2	Undefined	Candidate	PBP	No	-	-	-	-	-	-	-	0	-
30903930_len_269_MetaAn_65	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.002475949	-
3092000_len_297_MetaAn_66	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	6.95E-05	-
30925760_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.00044789	-
31155180_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
31202132_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
31253140_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	5.70E-05	-
31363163_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000382086	-
31383901_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	4.81E-05	-
3143165_len_401_MetaAn_66	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.0001494	-
31449867_len_283_MetaAn_61	A-IV	BRO-2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.001394765	-
3147085_len_292_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.002007866	-
31517323_len_285_MetaAn_17	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
37023528_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	Yes	A0A7W1FDU3	Beta-lactamase, 3.5.2.6	92.9	0.E+00	7.1	0.169	0.63509	0.000291808	-
315947_len_305_MetaAn_23	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.002419701	-
3160041_len_299_MetaAn_8	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.001467264	-
31613043_len_287_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.00011711	-
31639898_len_317_MetaAn_17	A-I	SPA_MetaAn_74_l376_st224_e1351_se1_ID=47445_2	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000127247	-
31721697_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000183374	-
31849740_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000326856	-
31855881_len_401_MetaAn_3	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	7.40E-05	-
31874503_len_296_MetaAn_3	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.003162899	-
31891183_len_286_MetaAn_74	D-I	CDD-1	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.007345877	-
3190383_len_313_MetaAn_7	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.001807755	-
31928617_len_295_MetaAn_3	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A0C1FRY6	beta-lactamase, 3.5.2.6	83.3	3.E-170	16.7	0.179	0.69332	0.004569603	-
3195945_len_285_MetaAn_26	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000233374	-
32026289_len_401_MetaAn_3	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.000171551	-
3203058_len_299_MetaAn_8	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A0P0NH37	Beta-lactamase, 3.5.2.6	60.6	6.E-126	39.4	0.18	0.68714	0.000337481	-
7002553_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	Yes	A0A7W1FDU3	Beta-lactamase, 3.5.2.6	92.9	0.E+00	7.1	0.168	0.63326	0.000331609	-
32204872_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000549505	-
3226127_len_285_MetaAn_32	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
32365187_len_277_MetaAn_73	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000235544	-
32474096_len_285_MetaAn_30	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
32566264_len_285_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
32589285_len_452_MetaAn_63	C-I	21243713_len_452_MetaAn_63	Undefined	Candidate	C	No	-	-	-	-	-	-	-	0.00202255	-
32612247_len_285_MetaAn_30	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000291613	-
32665362_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	Yes	A0A936QK02	Beta-lactamase, 3.5.2.6	73.2	3.E-158	26.8	0.168	0.622	0.000234208	-
32882965_len_304_MetaAn_65	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000572539	-
32939894_len_306_MetaAn_3	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.0003125	-
33077894_len_287_MetaAn_74	D-III	21647449_len_310_MetaAn_18	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0	-
33156517_len_280_MetaAn_30	D-I	CDD-1	Undefined	Candidate	D	No	-	-	-	-	-	-	-	0.000263623	-
33332119_len_337_MetaAn_74	A-II	11671458_len_355_MetaAn_23	Undefined	Candidate	A	No	-	-	-	-	-	-	-	0.000618769	-
